title,year,duration,genre,rating
Ikiru ,1952,2h 23min,Drama,Ikiru 
Singin' in the Rain ,1952,1h 43min,Comedy,Singin' in the Rain 
North by Northwest ,1959,2h 16min,Adventure,North by Northwest 
Vertigo ,1958,2h 8min,Mystery,Vertigo 
Lawrence of Arabia ,1962,3h 48min,Adventure,Lawrence of Arabia 
2001: A Space Odyssey ,1968,2h 29min,Adventure,2001: A Space Odyssey 
A Clockwork Orange ,1971,2h 16min,Crime,A Clockwork Orange 
The Apartment ,1960,2h 5min,Comedy,The Apartment 
The Sting ,1973,2h 9min,Comedy,The Sting 
Taxi Driver ,1976,1h 54min,Crime,Taxi Driver 
Per qualche dollaro in più ,1965,2h 12min,Western,Per qualche dollaro in più 
Star Wars: Episode VI - Return of the Jedi ,1983,2h 11min,Action,Star Wars: Episode VI - Return of the Jedi 
Scarface ,1983,2h 50min,Crime,Scarface 
Amadeus ,1984,2h 40min,Biography,Amadeus 
Das Boot ,1981,2h 29min,Adventure,Das Boot 
Idi i smotri ,1985,2h 22min,Drama,Idi i smotri 
Toy Story 3 ,2010,1h 43min,Animation,Toy Story 3 
Aliens ,1986,2h 17min,Action,Aliens 
Jodaeiye Nader az Simin ,2011,2h 3min,Drama,Jodaeiye Nader az Simin 
Jagten ,2012,1h 55min,Drama,Jagten 
1917 ,2019,1h 59min,Drama,1917 
Andhadhun ,2018,2h 19min,Crime,Andhadhun 
The Great Dictator ,1940,2h 5min,Comedy,The Great Dictator 
Incendies ,2010,2h 11min,Drama,Incendies 
Sunset Blvd. ,1950,1h 50min,Drama,Sunset Blvd. 
Babam ve Oglum ,2005,1h 52min,Drama,Babam ve Oglum 
Rear Window ,1954,1h 52min,Mystery,Rear Window 
Paths of Glory ,1957,1h 28min,Drama,Paths of Glory 
Witness for the Prosecution ,1957,1h 56min,Crime,Witness for the Prosecution 
Alien ,1979,1h 57min,Horror,Alien 
The Shining ,1980,2h 26min,Drama,The Shining 
Apocalypse Now ,1979,2h 27min,Drama,Apocalypse Now 
Once Upon a Time in America ,1984,3h 49min,Crime,Once Upon a Time in America 
Mononoke-hime ,1997,2h 14min,Animation,Mononoke-hime 
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,1h 35min,Comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 
Memento ,2000,1h 53min,Mystery,Memento 
Oldeuboi ,2003,1h 41min,Action,Oldeuboi 
The Lives of Others ,2006,2h 17min,Drama,The Lives of Others 
Taare Zameen Par ,2007,2h 45min,Drama,Taare Zameen Par 
3 Idiots ,2009,2h 50min,Comedy,3 Idiots 
Django Unchained ,2012,2h 45min,Drama,Django Unchained 
Coco ,2017,1h 45min,Animation,Coco 
WALL·E ,2008,1h 38min,Animation,WALL·E 
Raiders of the Lost Ark ,1981,1h 55min,Action,Raiders of the Lost Ark 
Avengers: Endgame ,2019,3h 1min,Action,Avengers: Endgame 
The Dark Knight Rises ,2012,2h 44min,Action,The Dark Knight Rises 
Spider-Man: Into the Spider-Verse ,2018,1h 57min,Animation,Spider-Man: Into the Spider-Verse 
Dangal ,2016,2h 41min,Action,Dangal 
Kimi no na wa. ,2016,1h 46min,Animation,Kimi no na wa. 
Capharnaüm ,2018,2h 6min,Drama,Capharnaüm 
Casablanca ,1942,1h 42min,Drama,Casablanca 
Gisaengchung ,2019,2h 12min,Comedy,Gisaengchung 
City Lights ,1931,1h 27min,Comedy,City Lights 
Seppuku ,1962,2h 13min,Action,Seppuku 
One Flew Over the Cuckoo's Nest ,1975,2h 13min,Drama,One Flew Over the Cuckoo's Nest 
Star Wars: Episode V - The Empire Strikes Back ,1980,2h 4min,Action,Star Wars: Episode V - The Empire Strikes Back 
Psycho ,1960,1h 49min,Horror,Psycho 
