Title,Year,Duration,Genre,Rating,movie_url
Les quatre cents coups ,1959,1h 39min,Crime,Les quatre cents coups ,https://www.imdb.com/title/tt0053198/?ref_=adv_li_tt
Persona ,1966,1h 25min,Drama,Persona ,https://www.imdb.com/title/tt0060827/?ref_=adv_li_tt
La battaglia di Algeri ,1966,2h 1min,Drama,La battaglia di Algeri ,https://www.imdb.com/title/tt0058946/?ref_=adv_li_tt
Barry Lyndon ,1975,3h 5min,Adventure,Barry Lyndon ,https://www.imdb.com/title/tt0072684/?ref_=adv_li_tt
Andrei Rublev ,1966,3h 25min,Biography,Andrei Rublev ,https://www.imdb.com/title/tt0060107/?ref_=adv_li_tt
Cool Hand Luke ,1967,2h 7min,Crime,Cool Hand Luke ,https://www.imdb.com/title/tt0061512/?ref_=adv_li_tt
Rocky ,1976,2h,Drama,Rocky ,https://www.imdb.com/title/tt0075148/?ref_=adv_li_tt
The Deer Hunter ,1978,3h 3min,Drama,The Deer Hunter ,https://www.imdb.com/title/tt0077416/?ref_=adv_li_tt
Life of Brian ,1979,1h 34min,Comedy,Life of Brian ,https://www.imdb.com/title/tt0079470/?ref_=adv_li_tt
Network ,1976,2h 1min,Drama,Network ,https://www.imdb.com/title/tt0074958/?ref_=adv_li_tt
The Thing ,1982,1h 49min,Horror,The Thing ,https://www.imdb.com/title/tt0084787/?ref_=adv_li_tt
The Elephant Man ,1980,2h 4min,Biography,The Elephant Man ,https://www.imdb.com/title/tt0080678/?ref_=adv_li_tt
Blade Runner ,1982,1h 57min,Action,Blade Runner ,https://www.imdb.com/title/tt0083658/?ref_=adv_li_tt
Platoon ,1986,2h,Drama,Platoon ,https://www.imdb.com/title/tt0091763/?ref_=adv_li_tt
Kaze no tani no Naushika ,1984,1h 57min,Animation,Kaze no tani no Naushika ,https://www.imdb.com/title/tt0087544/?ref_=adv_li_tt
Fanny och Alexander ,1982,3h 8min,Drama,Fanny och Alexander ,https://www.imdb.com/title/tt0083922/?ref_=adv_li_tt
The Princess Bride ,1987,1h 38min,Adventure,The Princess Bride ,https://www.imdb.com/title/tt0093779/?ref_=adv_li_tt
"Paris, Texas ",1984,2h 25min,Drama,"Paris, Texas ",https://www.imdb.com/title/tt0087884/?ref_=adv_li_tt
Stand by Me ,1986,1h 29min,Adventure,Stand by Me ,https://www.imdb.com/title/tt0092005/?ref_=adv_li_tt
Dead Poets Society ,1989,2h 8min,Comedy,Dead Poets Society ,https://www.imdb.com/title/tt0097165/?ref_=adv_li_tt
In the Name of the Father ,1993,2h 13min,Biography,In the Name of the Father ,https://www.imdb.com/title/tt0107207/?ref_=adv_li_tt
Jurassic Park ,1993,2h 7min,Action,Jurassic Park ,https://www.imdb.com/title/tt0107290/?ref_=adv_li_tt
Before Sunrise ,1995,1h 41min,Drama,Before Sunrise ,https://www.imdb.com/title/tt0112471/?ref_=adv_li_tt
Trainspotting ,1996,1h 33min,Drama,Trainspotting ,https://www.imdb.com/title/tt0117951/?ref_=adv_li_tt
Fa yeung nin wah ,2000,1h 38min,Drama,Fa yeung nin wah ,https://www.imdb.com/title/tt0118694/?ref_=adv_li_tt
Fargo ,1996,1h 38min,Crime,Fargo ,https://www.imdb.com/title/tt0116282/?ref_=adv_li_tt
La haine ,1995,1h 38min,Crime,La haine ,https://www.imdb.com/title/tt0113247/?ref_=adv_li_tt
The Big Lebowski ,1998,1h 57min,Comedy,The Big Lebowski ,https://www.imdb.com/title/tt0118715/?ref_=adv_li_tt
The Truman Show ,1998,1h 43min,Comedy,The Truman Show ,https://www.imdb.com/title/tt0120382/?ref_=adv_li_tt
The Sixth Sense ,1999,1h 47min,Drama,The Sixth Sense ,https://www.imdb.com/title/tt0167404/?ref_=adv_li_tt
Amores perros ,2000,2h 34min,Drama,Amores perros ,https://www.imdb.com/title/tt0245712/?ref_=adv_li_tt
Catch Me If You Can ,2002,2h 21min,Biography,Catch Me If You Can ,https://www.imdb.com/title/tt0264464/?ref_=adv_li_tt
Kill Bill: Vol. 1 ,2003,1h 51min,Action,Kill Bill: Vol. 1 ,https://www.imdb.com/title/tt0266697/?ref_=adv_li_tt
Finding Nemo ,2003,1h 40min,Animation,Finding Nemo ,https://www.imdb.com/title/tt0266543/?ref_=adv_li_tt
Hacksaw Ridge ,2016,2h 19min,Biography,Hacksaw Ridge ,https://www.imdb.com/title/tt2119532/?ref_=adv_li_tt
Gone Girl ,2014,2h 29min,Drama,Gone Girl ,https://www.imdb.com/title/tt2267998/?ref_=adv_li_tt
Inside Out ,2015,1h 35min,Animation,Inside Out ,https://www.imdb.com/title/tt2096673/?ref_=adv_li_tt
Relatos salvajes ,2014,2h 2min,Comedy,Relatos salvajes ,https://www.imdb.com/title/tt3011894/?ref_=adv_li_tt
The Grand Budapest Hotel ,2014,1h 39min,Adventure,The Grand Budapest Hotel ,https://www.imdb.com/title/tt2278388/?ref_=adv_li_tt
Room ,2015,1h 58min,Drama,Room ,https://www.imdb.com/title/tt3170832/?ref_=adv_li_tt
Logan ,2017,2h 17min,Action,Logan ,https://www.imdb.com/title/tt3315342/?ref_=adv_li_tt
Contratiempo ,2016,1h 46min,Crime,Contratiempo ,https://www.imdb.com/title/tt4857264/?ref_=adv_li_tt
Ah-ga-ssi ,2016,2h 25min,Drama,Ah-ga-ssi ,https://www.imdb.com/title/tt4016934/?ref_=adv_li_tt
Sherlock Jr. ,1924,45min,Action,Sherlock Jr. ,https://www.imdb.com/title/tt0015324/?ref_=adv_li_tt
Portrait de la jeune fille en feu ,2019,2h 2min,Drama,Portrait de la jeune fille en feu ,https://www.imdb.com/title/tt8613070/?ref_=adv_li_tt
The Gold Rush ,1925,1h 35min,Adventure,The Gold Rush ,https://www.imdb.com/title/tt0015864/?ref_=adv_li_tt
To Be or Not to Be ,1942,1h 39min,Comedy,To Be or Not to Be ,https://www.imdb.com/title/tt0035446/?ref_=adv_li_tt
The Treasure of the Sierra Madre ,1948,2h 6min,Adventure,The Treasure of the Sierra Madre ,https://www.imdb.com/title/tt0040897/?ref_=adv_li_tt
The Circus ,1928,1h 12min,Comedy,The Circus ,https://www.imdb.com/title/tt0018773/?ref_=adv_li_tt
All About Eve ,1950,2h 18min,Drama,All About Eve ,https://www.imdb.com/title/tt0042192/?ref_=adv_li_tt
Tôkyô monogatari ,1953,2h 16min,Drama,Tôkyô monogatari ,https://www.imdb.com/title/tt0046438/?ref_=adv_li_tt
Det sjunde inseglet ,1957,1h 36min,Drama,Det sjunde inseglet ,https://www.imdb.com/title/tt0050976/?ref_=adv_li_tt
Rashômon ,1950,1h 28min,Crime,Rashômon ,https://www.imdb.com/title/tt0042876/?ref_=adv_li_tt
Dial M for Murder ,1954,1h 45min,Crime,Dial M for Murder ,https://www.imdb.com/title/tt0046912/?ref_=adv_li_tt
